,store,sido-gu,address,phone
0,이천마장점,경기 이천시,경기도 이천시 마장면 오천로 65 오천리 56-55,070-4647-0081
1,충남대점,대전 유성구,대전광역시 유성구 대학로 84 (궁동 482-6) .,070-7543-1009
2,강변역점,서울 광진구,"서울 광진구 구의강변로 64, 구의아크로리버 1층 109호",070-7802-0303
3,종각역점,서울 종로구,서울특별시 종로구 종로 60-1 종로2가 102-3,02-736-3399
4,부산아트몰링영풍문고점,부산 사하구,"부산광역시 사하구 낙동남로 1413 (하단동, 아트몰링) 13층",051-201-0621
5,광명GIDC점,경기 광명시,"경기도 광명시 일직로 43 일직동 514 지하2층 G249, G250호",02-6914-6550
6,이천점,경기 이천시,경기도 이천시 어재연로 35 (창전동) 1~3층 할리스,031-635-6655
7,미사가로수길점,경기 하남시,"경기도 하남시 미사강변한강로 295 (망월동, 하남미사롯데캐슬헤븐시티Ⅱ) .",031-699-8674
8,시흥능곡점,경기 시흥시,"경기도 시흥시 능곡번영길 25 (능곡동) 능곡동 211-3 (107,108,205,206호)",070-8806-1314
9,평택칠괴점,경기 평택시,경기도 평택시 칠괴길 84 칠괴동 492 1층,031-665-1770
